"","species","province","X","garden","variant","latitude","longitude","country","IUCNRedList","ECO_CODE","ECO_NAME","geometry","Group","crop"
"131","Acer saccharinum","Ontario",313,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"132","Acer saccharinum","Ontario",316,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"133","Acer saccharinum","Ontario",317,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"134","Acer saccharinum","Ontario",318,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"135","Acer saccharinum","Ontario",320,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"136","Acer saccharinum","Ontario",321,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"137","Acer saccharinum","Ontario",322,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"138","Acer saccharinum","Ontario",325,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"139","Acer saccharinum","Ontario",327,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"140","Acer saccharinum","Ontario",329,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"141","Acer saccharinum","Ontario",333,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"142","Acer saccharinum","Ontario",335,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"143","Acer saccharinum","Ontario",338,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"144","Acer saccharinum","Ontario",339,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"145","Acer saccharinum","Ontario",340,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"146","Acer saccharinum","Ontario",343,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"147","Acer saccharinum","Ontario",348,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"148","Acer saccharinum","Ontario",350,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"149","Acer saccharinum","Ontario",353,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"150","Acer saccharinum","Ontario",355,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"151","Acer saccharinum","Ontario",361,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"152","Acer saccharinum","Ontario",363,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"153","Acer saccharinum","Ontario",364,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"154","Acer saccharinum","Ontario",367,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"155","Acer saccharinum","Ontario",379,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"156","Acer saccharinum","Ontario",382,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"157","Acer saccharinum","Ontario",386,"University of Guelph Arboretum","",43.284197,-80.462618,"Canada",NA,"NA0404","Great Lakes",c(-80.462618, 43.284197),"Trees","Maple"
"158","Acer saccharinum","Ontario",387,"University of Guelph Arboretum","",43.284197,-80.462618,"Canada",NA,"NA0404","Great Lakes",c(-80.462618, 43.284197),"Trees","Maple"
