,Crop,sci_nam,scntfcN,vrbtmSN,ECO_CODE,ECO_NAME,ECODE_NAME,PRENAME,PRFNAME,geometry,
71,Strawberry,Dasiphora fruticosa,Dasiphora fruticosa Rydb.,Dasiphora fruticosa,NA0603,Boreal Plains,NA0603. Boreal Plains,Alberta,Alberta,c(-111.93, 59.68)
72,Raspberry  Red,Rubus arcticus,Rubus acaulis Michx.,Rubus acaulis,NA0606,Hudson Plains,NA0606. Hudson Plains,Manitoba,Manitoba,c(-94.08, 57.75)
73,Strawberry,Comarum palustre,Comarum palustre L.,Comarum palustre,NA0604,Boreal Shield,NA0604. Boreal Shield,Newfoundland and Labrador,Terre-Neuve-et-Labrador,c(-60.42, 53.37)
74,Strawberry,Dasiphora fruticosa,Dasiphora fruticosa Rydb.,Dasiphora fruticosa,NA0568,Okanagan,NA0568. Okanagan,British Columbia,Colombie-Britannique,c(-120.2, 49.07)
75,Strawberry,Dasiphora fruticosa,Dasiphora fruticosa Rydb.,Dasiphora fruticosa,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,NA0517. Willamette Valley - Puget Trough - Georgia Basin,British Columbia,Colombie-Britannique,c(-121.917, 49.083)
76,Strawberry,Drymocallis glandulosa,Drymocallis glandulosa (Lindl.) Rydb.,Drymocallis glandulosa,NA0514,North Cascades,NA0514. North Cascades,British Columbia,Colombie-Britannique,c(-121.708, 49.083)
77,Strawberry,Comarum palustre,Comarum palustre L.,Comarum palustre,NA0513,Montane Cordillera,NA0513. Montane Cordillera,British Columbia,Colombie-Britannique,c(-124.9, 52.72)
78,Raspberry  Red,Rubus arcticus,Rubus acaulis Michx.,Rubus acaulis,NA1103,Arctic Cordillera,NA1103. Arctic Cordillera,Newfoundland and Labrador,Terre-Neuve-et-Labrador,c(-62.67, 58.48)
79,Strawberry,Dasiphora fruticosa,Dasiphora fruticosa Rydb.,Dasiphora fruticosa,NA0604,Boreal Shield,NA0604. Boreal Shield,Newfoundland and Labrador,Terre-Neuve-et-Labrador,c(-66.97, 53.07)
80,Strawberry,Dasiphora fruticosa,Dasiphora fruticosa Rydb.,Dasiphora fruticosa,NA0610,Yukon Plateau And Flats,NA0610. Yukon Plateau and Flats,Yukon,Yukon,c(-141, 65.5)
81,Strawberry,Comarum palustre,Comarum palustre L.,Comarum palustre,NA0609,Western Taiga Shield,NA0609. Western Taiga Shield,Northwest Territories,Territoires du Nord-Ouest,c(-113.25, 62.75)
82,Raspberry  Red,Rubus arcticus,Rubus acaulis Michx.,Rubus acaulis,NA0609,Western Taiga Shield,NA0609. Western Taiga Shield,Northwest Territories,Territoires du Nord-Ouest,c(-114.37, 62.45)
83,Strawberry,Dasiphora fruticosa,Dasiphora fruticosa Rydb.,Dasiphora fruticosa auct. non (L.) Rydb.,NA0606,Hudson Plains,NA0606. Hudson Plains,Manitoba,Manitoba,c(-93.259806, 57.719694)
84,Spinach,Blitum capitatum,Chenopodium capitatum (L.) Ascherson,Chenopodium capitatum (L.) Aschers.,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Manitoba,Manitoba,c(-100.573611, 51.093889)
85,Mint  Corn,Mentha canadensis,Mentha canadensis L.,Mentha canadensis L.,NA0603,Boreal Plains,NA0603. Boreal Plains,Manitoba,Manitoba,c(-97.492556, 51.108639)
86,Hop,Humulus lupulus,Humulus lupulus L.,Humulus lupulus L.,NA0418,Superior Mixed Forest,NA0418. Superior Mixed Forest,Ontario,Ontario,c(-94.295222, 48.927028)
87,Quinoa,Chenopodium berlandieri,Chenopodium berlandieri var. zschackei Murr,Chenopodium berlandieri Moq. var. zschackei Murr.,NA0811,Northern Tallgrass Prairie,NA0811. Northern Tallgrass Prairie,Manitoba,Manitoba,c(-96.513781, 50.227297)
88,Spinach,Blitum capitatum,Chenopodium capitatum (L.) Ascherson,Chenopodium capitatum (L.) Aschers.,NA0418,Superior Mixed Forest,NA0418. Superior Mixed Forest,Manitoba,Manitoba,c(-96.562778, 50.702222)
89,Witch-Hazel,Hamamelis virginiana,Hamamelis virginiana L.,Hamamelis virginiana L.,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,NA0517. Willamette Valley - Puget Trough - Georgia Basin,British Columbia,Colombie-Britannique,c(-123.25081, 49.25408)
90,Magnolia,Magnolia acuminata,Magnolia acuminata L.,Magnolia acuminata (L.) L.,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,NA0517. Willamette Valley - Puget Trough - Georgia Basin,British Columbia,Colombie-Britannique,c(-123.25081, 49.25408)
91,Hop,Humulus lupulus,Humulus lupulus L.,Humulus lupulus L.,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,NA0517. Willamette Valley - Puget Trough - Georgia Basin,British Columbia,Colombie-Britannique,c(-123.25081, 49.25408)
92,Heal-All,Prunella vulgaris,Prunella vulgaris L.,Prunella vulgaris L.,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,NA0517. Willamette Valley - Puget Trough - Georgia Basin,British Columbia,Colombie-Britannique,c(-123.25081, 49.25408)
93,Strawberry,Comarum palustre,Comarum palustre L.,Comarum palustre L.,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,NA0517. Willamette Valley - Puget Trough - Georgia Basin,British Columbia,Colombie-Britannique,c(-123.25081, 49.25408)
94,Raspberry  Red,Rubus arcticus,Rubus arcticus L.,Rubus arcticus L.,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,NA0517. Willamette Valley - Puget Trough - Georgia Basin,British Columbia,Colombie-Britannique,c(-123.25081, 49.25408)
95,Lupin,Lupinus polyphyllus,Lupinus polyphyllus var. pallidipes (A.Heller) C.P.Sm.,Lupinus polyphyllus Lindl. var. pallidipes C.P.Sm.,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,NA0517. Willamette Valley - Puget Trough - Georgia Basin,British Columbia,Colombie-Britannique,c(-123.25081, 49.25408)
96,Heal-All,Prunella vulgaris,Prunella vulgaris L.,Prunella vulgaris L.,NA0604,Boreal Shield,NA0604. Boreal Shield,Newfoundland and Labrador,Terre-Neuve-et-Labrador,c(-58.566667, 48.4)
97,Wheat,Elymus macrourus,Agropyron boreale (Turcz.) Drobow,Agropyron boreale (Turcz.) Drobow,NA1102,Alaska-Yukon Arctic,NA1102. Alaska-Yukon Arctic,Northwest Territories,Territoires du Nord-Ouest,c(-135.416667, 68.083333)
98,Sunflower,Helianthus annuus,Helianthus annuus f. lenticularis (Douglas ex Douglas) B.Boivin  1960,Helianthus annuus L. f. lenticularis (Douglas) B.Boivin,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Saskatchewan,Saskatchewan,c(-107.3, 50.416667)
99,Wheat,Leymus innovatus,Elymus innovatus Beal,Elymus innovatus Beal,NA0603,Boreal Plains,NA0603. Boreal Plains,Alberta,Alberta,c(-111.883333, 60)
100,Wheat,Leymus innovatus,Elymus innovatus Beal,Elymus innovatus Beal,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Alberta,Alberta,c(-110.3, 49.666667)
101,Sunflower,Helianthus pauciflorus,Helianthus subrhomboideus Rydb.,Helianthus subrhomboideus Rydb.,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Saskatchewan,Saskatchewan,c(-107.8, 50.283333)
102,Rice,Zizania palustris,Zizania palustris f. palustris,Zizania palustris L. var. palustris,NA0417,St. Lawrence - Champlain Valley,NA0417. St. Lawrence - Champlain Valley,Ontario,Ontario,c(-75.4, 45.25)
103,Wheat,Leymus innovatus,Elymus innovatus Beal,Elymus innovatus Beal,NA0608,Taiga Plains,NA0608. Taiga Plains,Northwest Territories,Territoires du Nord-Ouest,c(-134.133333, 68.7)
104,Strawberry,Comarum palustre,Potentilla palustris (L.) Scop.,Potentilla palustris (L.) Scop.,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,British Columbia,Colombie-Britannique,c(-117.833333, 51.5)
105,Strawberry,Dasiphora fruticosa,Potentilla fruticosa L.,Potentilla fruticosa L.,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,British Columbia,Colombie-Britannique,c(-117, 51.5)
106,Strawberry,Comarum palustre,Potentilla palustris (L.) Scop.,Potentilla palustris  (L.) Scop.,NA1109,Taiga Cordillera,NA1109. Taiga Cordillera,Yukon,Yukon,c(-128.25, 61.433333)
107,Raspberry  Red,Rubus arcticus,Rubus arcticus subsp. acaulis (Michx.) Focke,Rubus arcticus subsp. acaulis  (Michx.) Focke,NA1109,Taiga Cordillera,NA1109. Taiga Cordillera,Yukon,Yukon,c(-128.25, 61.366667)
108,Quinoa,Chenopodium berlandieri,Chenopodium berlandieri Moq.,Chenopodium berlandieri,NA0608,Taiga Plains,NA0608. Taiga Plains,Northwest Territories,Territoires du Nord-Ouest,c(-121.37, 61.87)
109,Spinach,Blitum nuttallianum,Monolepis nuttalliana (Roemer & Schult.) Greene,Monolepis nuttalliana,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,Alberta,Alberta,c(-115.57, 51.18)
110,Spinach,Blitum capitatum,Blitum capitatum L.,Blitum capitatum,NA0603,Boreal Plains,NA0603. Boreal Plains,Alberta,Alberta,c(-113.933, 58.9)
111,Spinach,Blitum nuttallianum,Monolepis nuttalliana (Roemer & Schult.) Greene,Monolepis nuttalliana,NA0606,Hudson Plains,NA0606. Hudson Plains,Manitoba,Manitoba,c(-94.08, 57.75)
112,Spinach,Blitum capitatum,Blitum capitatum L.,Blitum capitatum,NA0609,Western Taiga Shield,NA0609. Western Taiga Shield,Northwest Territories,Territoires du Nord-Ouest,c(-114.37, 62.45)
113,Spinach,Blitum capitatum,Blitum capitatum L.,Blitum capitatum,NA0608,Taiga Plains,NA0608. Taiga Plains,Northwest Territories,Territoires du Nord-Ouest,c(-116.28, 60.5)
114,Quinoa,Chenopodium berlandieri,Chenopodium berlandieri Moq.,Chenopodium berlandieri,NA0609,Western Taiga Shield,NA0609. Western Taiga Shield,Northwest Territories,Territoires du Nord-Ouest,c(-114.37, 62.45)
115,Wheat,Elymus alaskanus,Elymus alaskanus (Scribn. & Merr.) Á.Löve,Elymus alaskanus (Scribn. & Merr.) Á. Löve ssp. alaskanus,NA1108,Southern Arctic,NA1108. Southern Arctic,Nunavut,Nunavut,c(-115.633139, 67.458222)
116,Raspberry  Red,Rubus arcticus,Rubus arcticus subsp. acaulis (Michx.) Focke,Rubus arcticus L. ssp. acaulis (Michx.) Focke,NA1108,Southern Arctic,NA1108. Southern Arctic,Nunavut,Nunavut,c(-115.515361, 67.264444)
117,Wheat,Elymus violaceus,Elymus violaceus (Hornem.) J.Feilberg,Elymus violaceus (Hornem.) Feilberg,NA1108,Southern Arctic,NA1108. Southern Arctic,Nunavut,Nunavut,c(-115.37225, 67.752028)
118,Strawberry,Dasiphora fruticosa,Dasiphora fruticosa Rydb.,Dasiphora fruticosa (L.) Rydb.,NA1108,Southern Arctic,NA1108. Southern Arctic,Nunavut,Nunavut,c(-115.368028, 67.744472)
